communication_score,social_interaction_score,empathy_score,emotion_recognition_score,response_accuracy,average_response_time,mistake_rate,repeated_mistakes,improvement_rate,completed_sessions,difficulty_level,recommended_support_area
52.64,50.07,53.53,68.68,43.93,27.77,0.6885,7,-0.0491,26,3,Social Skills Support
29.46,64.83,34.79,80.25,45.43,41.91,0.5924,9,0.003,19,1,Speech & Communication Support
26.42,28.71,36.7,28.58,33.4,61.21,0.6753,10,0.0197,23,3,Speech & Communication Support
27.91,37.16,40.86,41.71,47.92,48.61,0.475,4,0.1155,5,1,Speech & Communication Support
31.64,81.52,85.48,90.63,69.02,39.76,0.313,4,0.0483,26,2,Speech & Communication Support
82.46,56.01,50.8,67.85,66.35,33.06,0.2311,4,0.1735,12,2,Emotional/Social Understanding Support
46.94,50.42,70.94,44.89,62.4,45.9,0.4799,9,0.079,29,3,Behavioral/Functional Skills Support
78.89,60.69,67.41,44.31,69.75,22.2,0.3494,5,0.1384,20,1,Behavioral/Functional Skills Support
30.66,87.71,34.21,89.24,56.83,59.0,0.47,5,-0.0289,5,1,Speech & Communication Support
31.37,66.28,36.48,62.85,53.51,14.53,0.4832,7,0.0673,17,2,Speech & Communication Support
87.39,33.02,32.85,30.88,48.61,53.89,0.4796,8,0.1077,23,3,Behavioral/Functional Skills Support
43.13,49.4,46.07,35.56,46.22,56.57,0.4743,6,0.1339,7,2,Behavioral/Functional Skills Support
77.28,57.12,50.22,91.1,74.93,44.63,0.284,9,0.0478,6,1,Emotional/Social Understanding Support
70.97,25.82,55.44,80.3,49.37,24.25,0.4586,7,0.0704,23,3,Social Skills Support
91.8,83.91,44.02,81.07,80.11,34.37,0.2445,4,0.105,9,1,Emotional/Social Understanding Support
77.04,38.28,86.01,68.97,65.72,36.34,0.3926,2,-0.0388,29,1,Social Skills Support
28.83,78.66,87.16,76.73,75.47,50.27,0.2411,6,0.0692,5,3,Speech & Communication Support
74.22,37.93,43.14,72.56,69.01,20.01,0.3335,3,0.0888,9,3,Social Skills Support
36.6,31.15,37.3,90.66,44.35,50.36,0.5452,8,0.0535,9,3,Social Skills Support
63.73,71.88,68.5,88.02,75.72,32.68,0.2638,8,0.2084,30,1,Speech & Communication Support
45.42,53.67,65.94,67.52,60.33,29.63,0.3013,0,-0.0323,28,1,Speech & Communication Support
56.77,40.11,63.35,62.91,52.94,38.81,0.4818,8,0.014,12,2,Social Skills Support
66.94,49.16,59.35,74.36,63.1,45.64,0.3656,5,-0.0056,9,1,Social Skills Support
58.11,32.76,29.83,81.41,53.09,38.73,0.4963,6,0.1034,4,3,Social Skills Support
82.39,49.94,35.29,65.26,47.7,8.48,0.4904,12,0.0623,26,2,Emotional/Social Understanding Support
72.26,50.99,67.94,25.72,59.76,43.97,0.4425,5,0.1081,11,3,Behavioral/Functional Skills Support
81.22,91.35,34.49,55.03,62.42,56.36,0.3836,6,0.1578,30,3,Emotional/Social Understanding Support
85.78,27.99,40.6,44.57,45.96,58.44,0.3967,4,-0.0881,7,3,Social Skills Support
68.49,69.9,76.11,28.89,53.79,50.41,0.5018,8,0.0776,26,2,Behavioral/Functional Skills Support
58.82,85.94,64.34,81.97,64.06,27.67,0.3552,6,0.0536,24,2,Speech & Communication Support
37.84,26.66,87.14,55.03,52.98,24.83,0.4661,7,-0.0252,7,2,Social Skills Support
66.56,56.99,76.02,85.52,54.4,27.83,0.4383,4,0.0893,20,2,Social Skills Support
62.06,68.82,89.98,90.97,79.7,54.71,0.1039,0,0.0378,23,3,Speech & Communication Support
56.15,90.52,52.58,78.18,78.28,25.82,0.179,4,0.1193,16,1,Emotional/Social Understanding Support
28.26,32.32,70.25,72.79,54.03,32.16,0.3828,7,0.0558,4,3,Speech & Communication Support
82.49,25.3,59.48,70.38,62.71,32.4,0.3482,8,-0.0243,9,2,Social Skills Support
82.17,45.03,64.55,51.59,58.83,37.88,0.3449,6,0.081,26,2,Social Skills Support
91.92,44.86,52.33,34.17,60.12,18.94,0.4086,5,0.175,23,2,Behavioral/Functional Skills Support
29.5,38.53,26.18,55.37,38.64,61.78,0.5942,5,0.0206,6,2,Emotional/Social Understanding Support
85.1,40.75,46.8,85.91,60.98,8.63,0.4373,7,-0.0033,18,3,Social Skills Support
35.41,83.58,43.98,62.62,59.11,38.06,0.4579,8,0.1322,9,2,Speech & Communication Support
85.47,77.77,37.41,62.67,76.32,28.53,0.2113,4,0.0465,21,1,Emotional/Social Understanding Support
31.9,27.75,41.49,29.39,26.23,49.16,0.8045,11,-0.0641,4,2,Social Skills Support
71.78,38.87,45.24,51.41,56.36,40.86,0.4785,5,0.0407,6,2,Social Skills Support
47.32,53.9,77.3,81.36,64.3,51.78,0.2202,0,-0.0143,12,1,Speech & Communication Support
87.34,28.25,55.87,72.67,61.44,45.83,0.3743,6,0.0582,29,1,Speech & Communication Support
66.55,41.19,63.14,64.54,45.84,45.9,0.5975,12,0.066,6,3,Social Skills Support
42.04,86.56,55.45,65.43,74.86,48.18,0.1961,4,0.1068,24,1,Speech & Communication Support
52.74,46.28,30.23,27.0,26.58,52.45,0.7008,7,0.1261,19,1,Behavioral/Functional Skills Support
84.63,64.79,33.44,34.63,46.72,49.16,0.5364,5,0.0272,23,3,Emotional/Social Understanding Support
64.17,33.5,85.12,83.99,65.27,24.91,0.3382,3,-0.0361,3,1,Social Skills Support
81.03,26.22,64.91,40.5,60.34,40.1,0.3459,3,0.0701,11,3,Social Skills Support
62.98,75.81,90.89,53.09,72.22,33.05,0.2432,4,0.0239,21,3,Behavioral/Functional Skills Support
51.47,70.73,35.01,89.42,58.29,57.6,0.3474,1,-0.0867,5,2,Emotional/Social Understanding Support
59.64,74.69,73.99,77.46,82.38,18.39,0.1535,1,0.0078,27,2,Speech & Communication Support
74.82,26.55,90.61,50.27,72.84,34.14,0.2795,5,0.2823,5,2,Social Skills Support
65.32,87.67,56.33,38.18,62.09,42.36,0.3799,6,0.0776,19,1,Behavioral/Functional Skills Support
41.32,31.63,75.48,84.03,53.26,52.08,0.3869,5,-0.0029,12,2,Social Skills Support
57.26,89.28,68.72,58.2,54.65,41.47,0.4402,6,0.0377,24,3,Speech & Communication Support
90.82,88.85,29.81,34.23,69.64,31.2,0.1535,0,-0.002,14,2,Emotional/Social Understanding Support
41.97,35.74,82.08,64.14,49.95,49.02,0.4084,6,0.0416,3,3,Social Skills Support
88.08,33.08,85.04,31.73,59.97,26.84,0.3552,6,0.0844,8,1,Behavioral/Functional Skills Support
82.04,83.6,47.73,60.57,78.03,10.87,0.2006,1,0.0739,3,3,Emotional/Social Understanding Support
57.87,60.49,60.95,54.12,58.89,40.21,0.438,8,0.1596,7,1,Behavioral/Functional Skills Support
38.92,41.96,27.01,32.97,36.7,58.54,0.6625,12,0.0399,17,2,Emotional/Social Understanding Support
91.24,79.83,74.69,56.41,78.7,38.93,0.1432,1,0.1623,4,3,Behavioral/Functional Skills Support
75.31,78.17,39.2,86.89,62.88,37.43,0.3691,2,0.0308,27,1,Emotional/Social Understanding Support
33.65,35.21,67.36,51.33,51.2,30.83,0.4255,8,0.0069,21,2,Speech & Communication Support
88.65,47.96,36.87,70.43,63.6,46.07,0.2797,5,0.0284,24,2,Emotional/Social Understanding Support
88.48,49.54,74.48,52.01,68.6,45.94,0.3213,5,0.1128,8,2,Social Skills Support
52.35,54.48,33.43,31.15,47.54,39.61,0.57,9,-0.0547,25,1,Behavioral/Functional Skills Support
82.66,41.53,69.75,33.67,54.98,37.46,0.4873,8,0.0621,23,1,Behavioral/Functional Skills Support
71.99,88.85,65.87,42.09,67.17,49.79,0.3996,6,0.0185,18,1,Behavioral/Functional Skills Support
83.63,65.89,54.74,87.71,77.73,22.09,0.2811,5,0.0724,25,2,Emotional/Social Understanding Support
86.15,86.9,81.5,90.54,77.58,31.15,0.2308,8,-0.0313,22,1,Emotional/Social Understanding Support
44.38,42.27,64.26,52.47,61.02,33.91,0.4577,5,0.0425,4,2,Social Skills Support
81.22,34.27,76.88,32.75,54.68,22.5,0.3985,6,0.132,14,2,Behavioral/Functional Skills Support
90.72,29.67,34.25,77.98,58.58,41.57,0.3897,3,-0.0641,19,1,Social Skills Support
62.0,58.55,70.97,68.73,60.47,54.3,0.49,8,0.1142,11,1,Social Skills Support
53.46,28.45,70.04,48.67,55.06,25.21,0.4017,8,0.0989,9,3,Social Skills Support
57.91,84.83,34.64,83.9,73.26,30.77,0.2885,2,0.0918,9,1,Emotional/Social Understanding Support
76.9,27.33,68.7,80.15,62.58,35.92,0.2483,2,0.03,15,3,Social Skills Support
51.43,74.43,42.25,75.41,60.26,39.71,0.5005,2,-0.0943,20,1,Emotional/Social Understanding Support
32.97,30.76,36.81,36.75,41.53,48.42,0.6424,10,-0.0143,8,2,Social Skills Support
83.63,90.36,83.48,37.88,65.53,33.46,0.3294,2,-0.0173,23,2,Behavioral/Functional Skills Support
72.61,26.78,28.31,65.3,34.89,47.13,0.5912,8,-0.0944,12,2,Social Skills Support
43.14,59.97,46.09,62.79,47.4,51.76,0.5254,5,0.0094,24,2,Speech & Communication Support
84.65,56.49,56.9,87.68,76.68,57.12,0.3508,2,-0.0008,3,1,Social Skills Support
38.87,53.32,36.8,34.02,36.2,39.99,0.5953,7,0.1788,12,1,Behavioral/Functional Skills Support
38.76,84.52,87.29,31.69,50.92,21.2,0.3558,3,0.1282,29,3,Behavioral/Functional Skills Support
60.25,91.78,27.96,51.88,63.07,31.76,0.4029,7,0.0105,25,3,Emotional/Social Understanding Support
58.08,90.05,50.51,51.63,57.02,41.11,0.464,8,0.1509,25,3,Emotional/Social Understanding Support
49.03,52.38,53.91,67.42,52.8,20.58,0.4617,3,0.1053,30,2,Speech & Communication Support
69.14,62.14,46.49,48.16,56.21,61.95,0.4089,8,0.0482,27,1,Emotional/Social Understanding Support
75.62,42.25,80.39,87.14,75.9,41.31,0.3332,8,0.037,5,3,Social Skills Support
25.31,27.58,70.59,62.7,45.02,59.32,0.4196,2,0.0846,15,1,Speech & Communication Support
47.16,83.88,50.0,62.86,62.16,33.73,0.3547,1,0.066,9,3,Speech & Communication Support
82.33,37.57,64.82,83.84,52.55,49.73,0.5198,7,-0.1364,23,2,Social Skills Support
49.79,52.98,32.93,78.25,48.76,48.53,0.5463,11,0.0189,29,2,Emotional/Social Understanding Support
71.24,35.95,69.78,50.24,45.86,47.44,0.5994,9,-0.0814,15,1,Social Skills Support
48.06,31.49,88.47,52.13,57.92,62.79,0.4489,8,0.233,27,2,Social Skills Support
53.88,27.41,60.82,91.57,74.59,38.57,0.2102,5,0.0541,13,1,Social Skills Support
81.11,32.87,29.01,80.93,59.24,35.5,0.3771,4,0.0269,25,2,Speech & Communication Support
45.81,37.69,44.17,89.61,63.62,53.43,0.4214,3,0.1076,30,2,Social Skills Support
33.5,78.32,61.56,61.41,60.74,57.18,0.4662,1,0.0242,26,3,Speech & Communication Support
51.23,31.01,30.19,77.25,41.01,38.33,0.6785,8,0.0568,13,3,Emotional/Social Understanding Support
39.65,59.56,87.72,90.47,77.63,29.69,0.2115,2,0.0245,8,1,Speech & Communication Support
60.99,66.94,38.53,78.64,76.88,15.03,0.3068,7,0.0047,18,2,Emotional/Social Understanding Support
88.36,50.35,76.64,61.21,71.87,52.41,0.2921,2,0.1165,9,3,Social Skills Support
36.31,87.76,37.59,32.19,37.01,50.64,0.6248,8,-0.1869,9,1,Behavioral/Functional Skills Support
53.26,29.48,64.73,40.27,45.93,48.16,0.6803,13,0.0085,16,1,Social Skills Support
80.09,68.43,77.38,53.69,69.1,64.16,0.3145,8,0.0807,24,3,Behavioral/Functional Skills Support
49.85,53.48,79.41,58.89,51.4,26.44,0.4003,2,0.0437,13,1,Speech & Communication Support
75.07,84.94,43.26,32.42,48.72,39.01,0.6151,10,0.0725,8,3,Behavioral/Functional Skills Support
72.45,36.74,48.96,57.05,56.1,43.26,0.402,6,-0.0024,26,3,Social Skills Support
77.41,75.12,79.61,55.03,67.83,29.52,0.4012,6,0.0394,16,2,Behavioral/Functional Skills Support
75.37,46.03,43.28,33.77,53.45,52.79,0.3457,1,0.053,13,1,Behavioral/Functional Skills Support
68.08,83.1,91.92,66.11,75.66,32.01,0.2179,5,0.1469,29,3,Behavioral/Functional Skills Support
58.12,52.29,63.07,61.99,50.71,67.1,0.4353,8,-0.0829,3,3,Social Skills Support
84.62,46.06,51.91,42.96,65.94,34.83,0.2338,2,0.0907,30,1,Behavioral/Functional Skills Support
28.88,88.6,51.99,80.89,58.19,31.64,0.4644,8,0.0333,7,3,Speech & Communication Support
70.41,79.57,40.76,43.51,50.42,45.05,0.5396,4,0.0367,28,3,Emotional/Social Understanding Support
50.35,80.95,39.28,25.29,56.17,14.52,0.4591,9,0.0306,24,3,Behavioral/Functional Skills Support
51.48,75.05,49.89,37.65,46.63,38.96,0.4506,3,0.0185,25,3,Behavioral/Functional Skills Support
52.59,52.02,86.86,41.47,50.77,42.32,0.5603,10,-0.0642,22,1,Behavioral/Functional Skills Support
44.39,78.34,85.81,78.78,73.85,31.87,0.259,4,0.0135,8,2,Speech & Communication Support
81.73,51.75,27.35,35.85,49.49,52.57,0.5756,8,0.1131,14,1,Emotional/Social Understanding Support
28.39,83.12,45.49,66.47,56.89,40.64,0.4481,8,-0.0815,26,3,Speech & Communication Support
60.34,74.9,79.97,75.21,69.38,44.25,0.2167,3,0.0476,15,2,Speech & Communication Support
77.72,86.18,41.53,74.35,67.25,34.38,0.2335,4,-0.0696,19,1,Emotional/Social Understanding Support
90.94,48.59,67.76,56.75,74.35,26.37,0.2699,4,0.0812,23,2,Social Skills Support
90.66,84.2,45.19,76.6,62.86,50.61,0.3933,4,0.0291,25,2,Emotional/Social Understanding Support
62.76,58.21,28.7,48.33,45.73,47.72,0.5342,9,-0.0077,9,2,Emotional/Social Understanding Support
83.06,74.99,84.34,39.47,73.34,29.49,0.4091,2,0.0746,23,2,Behavioral/Functional Skills Support
67.58,74.85,60.62,56.9,61.81,42.23,0.4434,6,0.0069,29,1,Behavioral/Functional Skills Support
34.45,90.15,85.49,86.77,70.52,43.35,0.2145,5,-0.0406,12,2,Speech & Communication Support
29.96,33.88,80.43,63.88,52.55,42.81,0.4691,7,0.0223,4,3,Speech & Communication Support
48.19,56.33,36.37,78.37,55.59,36.63,0.5327,8,-0.0512,22,3,Emotional/Social Understanding Support
30.21,76.26,45.61,39.51,42.48,38.46,0.5359,6,0.103,22,2,Speech & Communication Support
65.89,66.78,34.05,71.47,54.1,34.25,0.3955,3,0.0289,18,2,Emotional/Social Understanding Support
54.54,74.77,40.88,80.59,59.54,40.78,0.3269,8,0.1234,5,3,Emotional/Social Understanding Support
60.42,65.33,74.41,29.81,58.16,11.16,0.3594,6,0.1284,28,3,Behavioral/Functional Skills Support
37.12,39.53,31.38,25.04,35.18,44.83,0.537,7,-0.0049,29,3,Behavioral/Functional Skills Support
36.21,66.98,46.86,67.98,51.64,43.78,0.3683,6,0.0362,7,1,Speech & Communication Support
91.92,40.0,44.22,41.78,55.67,35.72,0.4831,9,0.0746,24,2,Social Skills Support
87.51,38.66,60.41,80.8,71.56,46.03,0.3779,4,0.0425,20,2,Social Skills Support
46.5,61.67,62.57,58.87,58.94,37.02,0.4993,5,0.0033,25,2,Speech & Communication Support
81.98,54.9,40.27,75.88,55.43,36.74,0.4854,6,0.0567,6,3,Social Skills Support
28.68,63.98,26.46,81.87,53.0,25.44,0.5093,5,0.1367,15,3,Emotional/Social Understanding Support
25.74,36.97,85.56,61.82,54.17,52.25,0.4246,5,-0.0445,29,3,Speech & Communication Support
45.12,56.97,49.1,40.04,52.88,59.31,0.4438,6,-0.1029,18,2,Behavioral/Functional Skills Support
77.04,79.3,72.68,31.89,59.75,26.2,0.2732,3,0.0046,19,2,Behavioral/Functional Skills Support
36.84,80.24,87.02,38.49,64.87,36.49,0.3885,3,0.0532,27,3,Speech & Communication Support
85.7,90.04,61.87,30.24,46.54,58.74,0.3517,4,0.1024,17,1,Behavioral/Functional Skills Support
30.03,73.9,81.88,56.66,60.23,25.36,0.3627,3,0.1064,30,1,Speech & Communication Support
56.08,88.15,74.19,39.42,75.69,33.86,0.1734,1,0.0069,16,3,Behavioral/Functional Skills Support
71.43,91.15,35.09,30.92,51.88,31.68,0.4289,10,0.0405,6,1,Behavioral/Functional Skills Support
81.66,59.84,81.46,54.91,61.05,35.95,0.3543,5,0.0019,10,1,Behavioral/Functional Skills Support
71.06,28.17,44.2,34.37,41.44,55.81,0.5715,7,0.0323,22,2,Social Skills Support
68.64,32.28,25.92,41.64,45.54,46.86,0.511,7,0.0118,8,2,Emotional/Social Understanding Support
48.1,53.23,31.72,77.45,56.44,43.78,0.4935,7,0.069,17,3,Emotional/Social Understanding Support
87.25,90.73,27.84,54.81,68.2,39.9,0.2338,6,0.0481,25,1,Emotional/Social Understanding Support
46.7,57.15,90.53,56.82,62.73,57.88,0.3823,5,0.0024,15,2,Speech & Communication Support
58.66,90.07,42.34,58.8,53.13,24.49,0.5026,2,0.0523,14,1,Emotional/Social Understanding Support
37.49,45.19,27.08,51.25,45.41,39.3,0.6057,6,0.05,17,2,Emotional/Social Understanding Support
73.02,56.26,49.21,82.13,69.78,42.3,0.3084,2,0.1101,12,2,Emotional/Social Understanding Support
40.98,75.06,33.76,79.07,53.76,20.21,0.4262,4,-0.0627,16,2,Emotional/Social Understanding Support
59.78,60.73,36.92,66.08,55.65,47.64,0.4317,5,-0.0578,12,3,Emotional/Social Understanding Support
27.2,43.72,37.93,50.37,40.18,20.82,0.5433,8,0.0506,9,1,Speech & Communication Support
91.38,87.21,58.78,60.63,70.1,41.83,0.3107,6,0.066,8,1,Emotional/Social Understanding Support
79.03,45.67,87.26,31.32,71.62,38.76,0.1809,1,0.1125,15,3,Behavioral/Functional Skills Support
65.36,82.41,31.56,43.49,58.44,46.25,0.4703,7,0.0781,24,3,Emotional/Social Understanding Support
43.11,84.88,53.54,46.96,57.43,30.94,0.4297,6,0.0562,14,3,Speech & Communication Support
52.7,80.2,42.2,89.97,63.62,42.37,0.3158,4,0.067,12,2,Emotional/Social Understanding Support
64.14,42.65,87.28,32.72,59.46,31.31,0.3638,3,0.1105,7,1,Behavioral/Functional Skills Support
42.32,69.42,32.95,87.78,59.69,47.07,0.4231,4,0.0926,4,2,Emotional/Social Understanding Support
31.98,91.98,55.51,83.46,70.17,43.45,0.3732,11,-0.0628,15,2,Speech & Communication Support
48.8,55.31,52.88,37.73,51.03,43.51,0.5186,8,0.0778,29,1,Behavioral/Functional Skills Support
68.92,31.3,88.64,75.15,66.12,36.15,0.3107,8,0.0908,21,2,Social Skills Support
49.71,42.05,50.86,38.2,43.94,45.54,0.5477,6,-0.0101,30,3,Behavioral/Functional Skills Support
64.36,89.74,59.97,85.96,78.07,40.76,0.1932,4,0.1342,25,2,Emotional/Social Understanding Support
62.65,33.48,75.35,59.01,53.08,24.35,0.4748,5,0.0439,19,3,Social Skills Support
27.44,62.26,39.49,82.64,54.9,47.36,0.3863,3,0.1507,11,1,Speech & Communication Support
84.5,76.2,38.39,44.58,69.52,26.74,0.2211,5,0.0906,22,1,Emotional/Social Understanding Support
27.89,25.33,73.88,88.57,53.33,50.19,0.3239,7,-0.0446,25,2,Social Skills Support
65.08,85.17,91.67,30.28,69.02,34.25,0.3385,6,0.0982,5,3,Behavioral/Functional Skills Support
86.59,27.18,29.49,52.02,55.18,42.96,0.2644,1,0.1722,6,2,Social Skills Support
63.89,50.24,80.39,34.28,60.41,43.96,0.4377,11,0.114,21,1,Behavioral/Functional Skills Support
29.63,73.77,44.3,73.49,61.79,69.99,0.3371,4,0.0261,27,1,Speech & Communication Support
40.73,61.73,53.56,78.3,72.13,35.67,0.3562,6,0.1169,29,1,Speech & Communication Support
84.38,69.57,70.91,42.64,69.71,63.16,0.2867,5,0.1444,22,1,Behavioral/Functional Skills Support
49.46,35.05,83.43,65.34,59.51,51.92,0.3508,2,0.0633,18,1,Social Skills Support
91.14,28.01,75.12,29.81,66.38,35.24,0.2129,3,0.1095,24,1,Social Skills Support
37.7,33.3,62.2,64.96,53.89,41.44,0.4729,4,-0.1143,30,2,Social Skills Support
47.1,87.44,70.69,90.3,71.41,41.52,0.4378,9,0.1366,18,3,Emotional/Social Understanding Support
87.41,33.3,38.26,76.28,69.96,32.01,0.154,3,0.0077,26,2,Social Skills Support
80.49,73.13,64.27,46.61,70.91,28.56,0.1943,4,0.1363,21,3,Behavioral/Functional Skills Support
35.75,38.56,61.14,57.25,40.06,41.43,0.5884,7,0.0646,12,2,Speech & Communication Support
67.98,77.95,66.86,61.01,62.39,19.14,0.3936,5,-0.1178,18,3,Behavioral/Functional Skills Support
64.68,39.86,74.18,80.44,74.29,25.81,0.2192,4,-0.1015,4,3,Social Skills Support
49.67,28.38,34.58,37.93,52.39,35.49,0.4751,10,-0.0695,9,2,Social Skills Support
50.68,76.76,78.78,32.42,47.93,32.18,0.5373,10,0.0231,29,3,Behavioral/Functional Skills Support
62.0,39.19,79.9,58.41,57.24,35.22,0.4737,8,0.005,26,1,Social Skills Support
87.78,60.67,68.04,55.99,63.89,16.28,0.2461,1,-0.042,13,1,Behavioral/Functional Skills Support
61.76,39.41,35.93,62.74,54.6,41.84,0.4264,5,0.0625,4,3,Emotional/Social Understanding Support
67.3,66.55,67.83,71.26,66.27,59.35,0.2844,4,0.05,12,1,Social Skills Support
58.98,54.28,47.76,41.74,52.3,42.42,0.5259,6,0.0906,29,1,Behavioral/Functional Skills Support
58.45,68.13,88.65,44.11,73.46,41.68,0.2803,6,0.0944,25,2,Behavioral/Functional Skills Support
75.03,59.61,65.46,51.54,58.7,60.69,0.426,8,0.0528,21,2,Behavioral/Functional Skills Support
80.39,61.53,66.53,71.68,82.51,29.31,0.0669,5,0.1183,12,1,Social Skills Support
47.4,36.12,55.22,51.96,49.39,45.21,0.4956,9,-0.0268,16,1,Social Skills Support
88.15,88.69,52.55,69.72,80.29,32.1,0.1679,2,0.2095,25,1,Emotional/Social Understanding Support
48.53,84.41,79.89,58.02,70.44,31.54,0.1697,4,0.1576,18,3,Speech & Communication Support
83.79,89.29,40.3,87.43,68.61,39.15,0.3402,1,0.088,21,1,Emotional/Social Understanding Support
58.27,84.48,67.22,59.91,61.76,27.57,0.4584,9,-0.0219,22,3,Speech & Communication Support
63.52,82.82,44.5,84.07,78.6,36.95,0.2515,2,0.2173,7,2,Emotional/Social Understanding Support
74.89,55.34,87.11,51.43,53.79,54.38,0.4294,9,0.0325,28,2,Behavioral/Functional Skills Support
57.94,78.99,84.98,29.7,53.58,21.98,0.5136,6,0.011,16,2,Behavioral/Functional Skills Support
58.57,56.63,79.79,74.96,62.7,30.61,0.4653,7,0.0099,21,1,Social Skills Support
41.0,69.98,42.09,59.25,46.18,43.92,0.5385,10,0.1147,18,1,Speech & Communication Support
83.34,71.15,60.69,50.99,59.76,28.35,0.4893,7,0.1601,12,1,Behavioral/Functional Skills Support
90.12,41.57,41.73,34.35,60.95,29.5,0.3893,4,0.0654,14,2,Behavioral/Functional Skills Support
79.1,48.8,52.49,36.25,44.16,40.22,0.5655,7,0.009,28,1,Behavioral/Functional Skills Support
62.19,47.38,43.23,55.82,50.48,47.47,0.5892,9,-0.0892,11,3,Emotional/Social Understanding Support
76.24,49.16,77.45,38.82,61.4,18.18,0.3716,8,-0.0866,17,3,Behavioral/Functional Skills Support
84.1,78.43,83.27,71.79,82.87,33.49,0.1949,1,0.131,19,1,Emotional/Social Understanding Support
54.83,70.25,81.36,91.4,76.57,32.59,0.2312,5,0.0587,29,2,Speech & Communication Support
59.44,42.4,34.06,32.84,34.58,50.75,0.7316,7,0.0299,12,1,Behavioral/Functional Skills Support
87.64,50.82,81.0,30.03,54.19,26.16,0.5618,7,0.0373,22,3,Behavioral/Functional Skills Support
76.62,91.88,58.0,29.11,68.43,26.82,0.2091,5,0.1361,12,3,Behavioral/Functional Skills Support
28.01,83.51,71.46,27.68,49.91,23.85,0.5077,9,-0.0495,8,1,Behavioral/Functional Skills Support
70.5,28.62,89.04,90.71,65.98,48.32,0.3076,3,-0.0753,28,1,Social Skills Support
56.01,80.37,70.82,68.09,67.68,31.93,0.4813,8,0.0216,9,2,Speech & Communication Support
41.44,39.03,64.38,40.58,49.05,44.72,0.5101,7,-0.007,15,1,Social Skills Support
75.79,87.95,69.28,53.92,76.46,40.71,0.2199,4,0.0188,25,2,Behavioral/Functional Skills Support
52.5,62.31,87.36,27.43,69.48,13.44,0.3219,2,0.0117,14,1,Behavioral/Functional Skills Support
60.45,25.07,35.85,31.27,43.62,54.52,0.6144,6,0.0483,10,2,Social Skills Support
33.5,34.82,90.75,66.38,44.71,75.03,0.498,9,0.0965,29,3,Speech & Communication Support
50.72,87.39,35.0,91.8,66.76,35.37,0.3982,7,0.1043,20,2,Emotional/Social Understanding Support
35.0,60.74,70.13,55.57,54.27,58.93,0.5394,8,-0.0183,18,3,Behavioral/Functional Skills Support
35.79,70.17,29.02,64.52,54.3,32.34,0.6405,7,-0.0488,19,1,Emotional/Social Understanding Support
84.09,69.68,56.61,46.55,56.72,18.16,0.4399,2,-0.0506,6,3,Behavioral/Functional Skills Support
44.0,53.02,46.74,78.49,63.55,38.49,0.3827,6,0.0594,16,3,Speech & Communication Support
47.54,35.52,25.79,41.61,33.15,41.19,0.6288,6,0.0842,6,1,Emotional/Social Understanding Support
